"2020-01-31 15:38:00"
"2020-02-01 12:00:00"
"2020-02-02 12:00:00"
"2020-02-03 12:00:00"
"2020-02-04 12:00:00"
"2020-02-05 12:00:00"
"2020-02-06 12:00:00"
"2020-02-07 12:00:00"
"2020-02-08 12:00:00"
"2020-02-09 12:00:00"
"2020-02-10 12:00:00"
"2020-02-11 15:20:00"
"2020-02-12 07:18:00"
"2020-02-13 12:00:00"
"2020-02-14 12:00:00"
"2020-02-15 12:00:00"
"2020-02-16 12:00:00"
"2020-02-17 12:56:00"
"2020-02-18 12:00:00"
"2020-02-19 12:00:00"
"2020-02-20 12:00:00"
"2020-02-21 12:00:00"
"2020-02-22 12:00:00"
"2020-02-23 12:00:00"
"2020-02-24 12:00:00"
"2020-02-25 12:00:00"
"2020-02-26 17:00:00"
"2020-02-27 12:00:00"
"2020-02-28 12:00:00"
"2020-02-29 12:00:00"
"2020-03-01 12:00:00"
"2020-03-02 22:29:00"
"2020-03-03 12:00:00"
"2020-03-04 12:00:00"
"2020-03-05 11:26:00"
"2020-03-06 19:00:00"
"2020-03-07 19:05:00"
"2020-03-08 16:00:00"
"2020-03-09 14:59:00"
"2020-03-10 12:00:00"
"2020-03-11 20:20:00"
"2020-03-12 19:27:00"
"2020-03-13 16:12:00"
"2020-03-14 18:07:00"
"2020-03-15 16:42:00"
"2020-03-16 15:45:00"
"2020-03-17 16:21:00"
"2020-03-18 14:31:00"
"2020-03-19 16:01:00"
"2020-03-20 16:00:00"
"2020-03-21 16:42:00"
"2020-03-22 16:11:00"
"2020-03-23 09:11:00"
"2020-03-24 14:19:00"
"2020-03-25 11:00:00"
"2020-03-26 11:00:00"
"2020-03-27 11:30:00"
"2020-03-28 12:20:00"
"2020-03-29 11:20:00"
"2020-03-30 12:00:00"
"2020-03-31 12:20:00"
"2020-04-01 11:15:00"
"2020-04-02 11:20:00"
"2020-04-03 10:45:00"
"2020-04-04 11:30:00"
"2020-04-05 13:40:00"
"2020-04-06 11:00:00"
"2020-04-07 10:45:00"
"2020-04-08 10:45:00"
"2020-04-09 10:45:00"
"2020-04-10 10:30:00"
"2020-04-11 11:15:00"
"2020-04-12 11:15:00"
"2020-04-13 10:45:00"
"2020-04-14 10:30:00"
"2020-04-15 10:30:00"
"2020-04-16 10:45:00"
"2020-04-17 11:20:00"
"2020-04-18 10:30:00"
"2020-04-19 11:10:00"
"2020-04-20 10:35:00"
"2020-04-21 10:35:00"
"2020-04-22 10:35:00"
"2020-04-23 10:35:00"
"2020-04-24 10:35:00"
"2020-04-25 13:15:00"
"2020-04-26 12:00:00"
"2020-04-27 10:50:00"
"2020-04-28 10:50:00"
"2020-04-29 10:45:00"
"2020-04-30 10:35:00"
"2020-05-01 10:35:00"
"2020-05-02 11:35:00"
"2020-05-03 10:25:00"
"2020-05-04 10:55:00"
"2020-05-05 10:35:00"
"2020-05-06 10:35:00"
"2020-05-07 10:45:00"
"2020-05-08 10:30:00"
"2020-05-09 10:45:00"
"2020-05-10 10:40:00"
"2020-05-11 10:35:00"
"2020-05-12 10:35:00"
"2020-05-13 10:35:00"
"2020-05-14 10:35:00"
"2020-05-15 10:35:00"
