"TIMESTAMP"	"STATUS"	"REGION"	"NUMBER"
"2020-06-14 10:45:00"	"detected"	"Алтайский край"	69
"2020-06-14 10:45:00"	"detected"	"Амурская область"	45
"2020-06-14 10:45:00"	"detected"	"Архангельская область"	109
"2020-06-14 10:45:00"	"detected"	"Астраханская область"	59
"2020-06-14 10:45:00"	"detected"	"Белгородская область"	80
"2020-06-14 10:45:00"	"detected"	"Брянская область"	91
"2020-06-14 10:45:00"	"detected"	"Владимирская область"	59
"2020-06-14 10:45:00"	"detected"	"Волгоградская область"	108
"2020-06-14 10:45:00"	"detected"	"Вологодская область"	30
"2020-06-14 10:45:00"	"detected"	"Воронежская область"	219
"2020-06-14 10:45:00"	"detected"	"Еврейская автономная область"	3
"2020-06-14 10:45:00"	"detected"	"Забайкальский край"	89
"2020-06-14 10:45:00"	"detected"	"Ивановская область"	94
"2020-06-14 10:45:00"	"detected"	"Иркутская область"	209
"2020-06-14 10:45:00"	"detected"	"Кабардино-Балкарская Республика"	80
"2020-06-14 10:45:00"	"detected"	"Калининградская область"	45
"2020-06-14 10:45:00"	"detected"	"Калужская область"	80
"2020-06-14 10:45:00"	"detected"	"Камчатский край"	45
"2020-06-14 10:45:00"	"detected"	"Карачаево-Черкесская Республика"	98
"2020-06-14 10:45:00"	"detected"	"Кемеровская область"	22
"2020-06-14 10:45:00"	"detected"	"Кировская область"	39
"2020-06-14 10:45:00"	"detected"	"Костромская область"	27
"2020-06-14 10:45:00"	"detected"	"Краснодарский край"	77
"2020-06-14 10:45:00"	"detected"	"Красноярский край"	166
"2020-06-14 10:45:00"	"detected"	"Курганская область"	15
"2020-06-14 10:45:00"	"detected"	"Курская область"	72
"2020-06-14 10:45:00"	"detected"	"Ленинградская область"	52
"2020-06-14 10:45:00"	"detected"	"Липецкая область"	58
"2020-06-14 10:45:00"	"detected"	"Магаданская область"	21
"2020-06-14 10:45:00"	"detected"	"Москва"	1477
"2020-06-14 10:45:00"	"detected"	"Московская область"	717
"2020-06-14 10:45:00"	"detected"	"Мурманская область"	57
"2020-06-14 10:45:00"	"detected"	"Ненецкий автономный округ"	1
