REGION.RosStat.levels	FED.DISTRICT.RosStat
Белгородская область	Центральный федеральный округ
Брянская область	Центральный федеральный округ
Владимирская область	Центральный федеральный округ
Воронежская область	Центральный федеральный округ
Ивановская область	Центральный федеральный округ
Калужская область	Центральный федеральный округ
Костромская область	Центральный федеральный округ
Курская область	Центральный федеральный округ
Липецкая область	Центральный федеральный округ
Московская область	Центральный федеральный округ
Орловская область	Центральный федеральный округ
Рязанская область	Центральный федеральный округ
Смоленская область	Центральный федеральный округ
Тамбовская область	Центральный федеральный округ
Тверская область	Центральный федеральный округ
Тульская область	Центральный федеральный округ
Ярославская область	Центральный федеральный округ
г. Москва	Центральный федеральный округ
Республика Карелия	Северо-Западный федеральный округ
Республика Коми	Северо-Западный федеральный округ
Ненецкий автономный округ	Северо-Западный федеральный округ
Архангельская обл без автономии	Северо-Западный федеральный округ
Вологодская область	Северо-Западный федеральный округ
Калининградская область	Северо-Западный федеральный округ
Ленинградская область	Северо-Западный федеральный округ
Мурманская область	Северо-Западный федеральный округ
Новгородская область	Северо-Западный федеральный округ
Псковская область	Северо-Западный федеральный округ
г. Санкт-Петербург	Северо-Западный федеральный округ
Республика Адыгея (Адыгея)	Южный федеральный округ
Республика Калмыкия	Южный федеральный округ
Республика Крым	Южный федеральный округ
Краснодарский край	Южный федеральный округ
Астраханская область	Южный федеральный округ
Волгоградская область	Южный федеральный округ
Ростовская область	Южный федеральный округ
г. Севастополь	Южный федеральный округ
Республика Дагестан	Северо-Кавказский федеральный округ
Республика Ингушетия	Северо-Кавказский федеральный округ
Кабардино-Балкарская Республика	Северо-Кавказский федеральный округ
Карачаево-Черкесская Республика	Северо-Кавказский федеральный округ
Республика Северная Осетия-Алания	Северо-Кавказский федеральный округ
Чеченская Республика	Северо-Кавказский федеральный округ
Ставропольский край	Северо-Кавказский федеральный округ
Республика Башкортостан	Приволжский федеральный округ
Республика Марий Эл	Приволжский федеральный округ
Республика Мордовия	Приволжский федеральный округ
Республика Татарстан	Приволжский федеральный округ
Удмуртская Республика	Приволжский федеральный округ
Республика Чувашия	Приволжский федеральный округ
Пермский край	Приволжский федеральный округ
Кировская область	Приволжский федеральный округ
Нижегородская область	Приволжский федеральный округ
Оренбургская область	Приволжский федеральный округ
Пензенская область	Приволжский федеральный округ
Самарская область	Приволжский федеральный округ
Саратовская область	Приволжский федеральный округ
Ульяновская область	Приволжский федеральный округ
Курганская область	Уральский федеральный округ
Свердловская область	Уральский федеральный округ
Ханты-Мансийский автономный округ - Югра	Уральский федеральный округ
Ямало-Ненецкий автономный округ	Уральский федеральный округ
Тюменская обл без автономий	Уральский федеральный округ
Челябинская область	Уральский федеральный округ
Республика Алтай	Сибирский федеральный округ
Республика Тыва	Сибирский федеральный округ
Республика Хакасия	Сибирский федеральный округ
Алтайский край	Сибирский федеральный округ
Красноярский край	Сибирский федеральный округ
Иркутская область	Сибирский федеральный округ
Кемеровская область	Сибирский федеральный округ
Новосибирская область	Сибирский федеральный округ
Омская область	Сибирский федеральный округ
Томская область	Сибирский федеральный округ
Республика Бурятия	Дальневосточный федеральный округ
Республика Саха (Якутия)	Дальневосточный федеральный округ
Забайкальский край	Дальневосточный федеральный округ
Камчатский край	Дальневосточный федеральный округ
Приморский край	Дальневосточный федеральный округ
Хабаровский край	Дальневосточный федеральный округ
Амурская область	Дальневосточный федеральный округ
Магаданская область	Дальневосточный федеральный округ
Сахалинская область	Дальневосточный федеральный округ
Еврейская автономная область	Дальневосточный федеральный округ
Чукотский автономный округ	Дальневосточный федеральный округ
